,OrderNumber,ProductName,Color,Category,Subcategory,ListPrice,Orderdate,Duedate,Shipdate,PromotionName,SalesRegion,OrderQuantity,UnitPrice,SalesAmount,DiscountAmount,TaxAmount,Freight
3786,SO46929,LL Mountain Handlebars,,Components,Handlebars,40.4909,1/29/2012,2/10/2012,2/5/2012,No Discount,Canada,1,24.2945,24.2945,0.0,1.9436,0.6074
3802,SO46930,ML Mountain Handlebars,,Components,Handlebars,56.2909,1/29/2012,2/10/2012,2/5/2012,No Discount,Canada,1,33.7745,33.7745,0.0,2.702,0.8444
3809,SO46931,HL Headset,,Components,Headsets,124.73,1/29/2012,2/10/2012,2/5/2012,No Discount,Central,1,74.838,74.838,0.0,5.987,1.871
3810,SO46931,HL Fork,,Components,Forks,229.49,1/29/2012,2/10/2012,2/5/2012,No Discount,Central,2,137.694,275.388,0.0,22.031,6.8847
3815,SO46931,LL Fork,,Components,Forks,148.22,1/29/2012,2/10/2012,2/5/2012,No Discount,Central,2,88.932,177.864,0.0,14.2291,4.4466
3826,SO46931,ML Headset,,Components,Headsets,102.29,1/29/2012,2/10/2012,2/5/2012,No Discount,Central,3,61.374,184.122,0.0,14.7298,4.6031
3831,SO46931,LL Headset,,Components,Headsets,34.2,1/29/2012,2/10/2012,2/5/2012,No Discount,Central,3,20.52,61.56,0.0,4.9248,1.539
3841,SO46932,ML Mountain Handlebars,,Components,Handlebars,56.2909,1/29/2012,2/10/2012,2/5/2012,No Discount,Canada,3,33.7745,101.3235,0.0,8.1059,2.5331
3882,SO46933,LL Road Handlebars,,Components,Handlebars,40.4909,1/29/2012,2/10/2012,2/5/2012,No Discount,Southeast,1,24.2945,24.2945,0.0,1.9436,0.6074
3911,SO46937,ML Mountain Handlebars,,Components,Handlebars,56.2909,1/29/2012,2/10/2012,2/5/2012,No Discount,Southeast,1,33.7745,33.7745,0.0,2.702,0.8444
3917,SO46938,HL Headset,,Components,Headsets,124.73,1/29/2012,2/10/2012,2/5/2012,No Discount,Canada,1,74.838,74.838,0.0,5.987,1.871
3920,SO46938,LL Mountain Handlebars,,Components,Handlebars,40.4909,1/29/2012,2/10/2012,2/5/2012,No Discount,Canada,1,24.2945,24.2945,0.0,1.9436,0.6074
3928,SO46938,ML Mountain Handlebars,,Components,Handlebars,56.2909,1/29/2012,2/10/2012,2/5/2012,No Discount,Canada,2,33.7745,67.549,0.0,5.4039,1.6887
3936,SO46938,HL Fork,,Components,Forks,229.49,1/29/2012,2/10/2012,2/5/2012,No Discount,Canada,4,137.694,550.776,0.0,44.0621,13.7694
3938,SO46938,LL Headset,,Components,Headsets,34.2,1/29/2012,2/10/2012,2/5/2012,No Discount,Canada,2,20.52,41.04,0.0,3.2832,1.026
3941,SO46938,ML Headset,,Components,Headsets,102.29,1/29/2012,2/10/2012,2/5/2012,No Discount,Canada,9,61.374,552.366,0.0,44.1893,13.8092
3947,SO46940,Minipump,,Accessories,Pumps,19.99,1/29/2012,2/10/2012,2/5/2012,No Discount,Canada,4,11.994,47.976,0.0,3.8381,1.1994
3972,SO46940,Cable Lock,,Accessories,Locks,25.0,1/29/2012,2/10/2012,2/5/2012,No Discount,Canada,4,15.0,60.0,0.0,4.8,1.5
3985,SO46940,HL Road Handlebars,,Components,Handlebars,109.3364,1/29/2012,2/10/2012,2/5/2012,No Discount,Canada,2,65.6018,131.2036,0.0,10.4963,3.2801
4006,SO46941,ML Mountain Handlebars,,Components,Handlebars,56.2909,1/29/2012,2/10/2012,2/5/2012,No Discount,France,1,33.7745,33.7745,0.0,2.702,0.8444
4018,SO46942,ML Mountain Handlebars,,Components,Handlebars,56.2909,1/29/2012,2/10/2012,2/5/2012,No Discount,Southwest,1,33.7745,33.7745,0.0,2.702,0.8444
4046,SO46944,HL Mountain Handlebars,,Components,Handlebars,109.3364,1/29/2012,2/10/2012,2/5/2012,No Discount,Northwest,1,65.6018,65.6018,0.0,5.2481,1.64
4065,SO46944,LL Mountain Handlebars,,Components,Handlebars,40.4909,1/29/2012,2/10/2012,2/5/2012,No Discount,Northwest,7,24.2945,170.0615,0.0,13.6049,4.2515
4068,SO46944,ML Mountain Handlebars,,Components,Handlebars,56.2909,1/29/2012,2/10/2012,2/5/2012,No Discount,Northwest,4,33.7745,135.098,0.0,10.8078,3.3775
4091,SO46947,HL Mountain Handlebars,,Components,Handlebars,109.3364,1/29/2012,2/10/2012,2/5/2012,No Discount,Northeast,5,65.6018,328.009,0.0,26.2407,8.2002
4095,SO46948,HL Road Handlebars,,Components,Handlebars,109.3364,1/29/2012,2/10/2012,2/5/2012,No Discount,Northeast,2,65.6018,131.2036,0.0,10.4963,3.2801
4116,SO46948,LL Road Handlebars,,Components,Handlebars,40.4909,1/29/2012,2/10/2012,2/5/2012,No Discount,Northeast,2,24.2945,48.589,0.0,3.8871,1.2147
4129,SO46948,Cable Lock,,Accessories,Locks,25.0,1/29/2012,2/10/2012,2/5/2012,No Discount,Northeast,4,15.0,60.0,0.0,4.8,1.5
4143,SO46948,Minipump,,Accessories,Pumps,19.99,1/29/2012,2/10/2012,2/5/2012,No Discount,Northeast,6,11.994,71.964,0.0,5.7571,1.7991
4182,SO46951,HL Road Handlebars,,Components,Handlebars,109.3364,1/29/2012,2/10/2012,2/5/2012,No Discount,Canada,3,65.6018,196.8054,0.0,15.7444,4.9201
4208,SO46953,Cable Lock,,Accessories,Locks,25.0,1/29/2012,2/10/2012,2/5/2012,No Discount,Canada,5,15.0,75.0,0.0,6.0,1.875
4210,SO46953,Minipump,,Accessories,Pumps,19.99,1/29/2012,2/10/2012,2/5/2012,No Discount,Canada,10,11.994,119.94,0.0,9.5952,2.9985
4230,SO46954,ML Mountain Handlebars,,Components,Handlebars,56.2909,1/29/2012,2/10/2012,2/5/2012,No Discount,Southwest,1,33.7745,33.7745,0.0,2.702,0.8444
4255,SO46957,Cable Lock,,Accessories,Locks,25.0,1/29/2012,2/10/2012,2/5/2012,No Discount,Northwest,7,15.0,105.0,0.0,8.4,2.625
4268,SO46957,LL Fork,,Components,Forks,148.22,1/29/2012,2/10/2012,2/5/2012,No Discount,Northwest,4,88.932,355.728,0.0,28.4582,8.8932
4281,SO46957,Minipump,,Accessories,Pumps,19.99,1/29/2012,2/10/2012,2/5/2012,No Discount,Northwest,9,11.994,107.946,0.0,8.6357,2.6987
4283,SO46957,HL Mountain Handlebars,,Components,Handlebars,109.3364,1/29/2012,2/10/2012,2/5/2012,No Discount,Northwest,3,65.6018,196.8054,0.0,15.7444,4.9201
4285,SO46957,HL Fork,,Components,Forks,229.49,1/29/2012,2/10/2012,2/5/2012,No Discount,Northwest,6,137.694,826.164,0.0,66.0931,20.6541
4286,SO46957,HL Headset,,Components,Headsets,124.73,1/29/2012,2/10/2012,2/5/2012,No Discount,Northwest,8,74.838,598.704,0.0,47.8963,14.9676
4292,SO46957,LL Mountain Handlebars,,Components,Handlebars,40.4909,1/29/2012,2/10/2012,2/5/2012,No Discount,Northwest,10,24.2945,242.945,0.0,19.4356,6.0736
4293,SO46957,ML Headset,,Components,Headsets,102.29,1/29/2012,2/10/2012,2/5/2012,Volume Discount 15 to 24,Northwest,18,56.2595,962.0375,50.6336,76.963,24.0509
4301,SO46957,ML Mountain Handlebars,,Components,Handlebars,56.2909,1/29/2012,2/10/2012,2/5/2012,No Discount,Northwest,10,33.7745,337.745,0.0,27.0196,8.4436
4307,SO46957,LL Headset,,Components,Headsets,34.2,1/29/2012,2/10/2012,2/5/2012,No Discount,Northwest,2,20.52,41.04,0.0,3.2832,1.026
4319,SO46959,Minipump,,Accessories,Pumps,19.99,1/29/2012,2/10/2012,2/5/2012,No Discount,Canada,7,11.994,83.958,0.0,6.7166,2.099
4327,SO46959,HL Road Handlebars,,Components,Handlebars,109.3364,1/29/2012,2/10/2012,2/5/2012,No Discount,Canada,9,65.6018,590.4162,0.0,47.2333,14.7604
4356,SO46959,Cable Lock,,Accessories,Locks,25.0,1/29/2012,2/10/2012,2/5/2012,No Discount,Canada,5,15.0,75.0,0.0,6.0,1.875
4369,SO46959,LL Road Handlebars,,Components,Handlebars,40.4909,1/29/2012,2/10/2012,2/5/2012,No Discount,Canada,5,24.2945,121.4725,0.0,9.7178,3.0368
4402,SO46964,HL Road Handlebars,,Components,Handlebars,109.3364,1/29/2012,2/10/2012,2/5/2012,No Discount,Southwest,1,65.6018,65.6018,0.0,5.2481,1.64
4410,SO46964,Cable Lock,,Accessories,Locks,25.0,1/29/2012,2/10/2012,2/5/2012,No Discount,Southwest,3,15.0,45.0,0.0,3.6,1.125
4426,SO46964,Minipump,,Accessories,Pumps,19.99,1/29/2012,2/10/2012,2/5/2012,No Discount,Southwest,5,11.994,59.97,0.0,4.7976,1.4993
4432,SO46964,LL Road Handlebars,,Components,Handlebars,40.4909,1/29/2012,2/10/2012,2/5/2012,No Discount,Southwest,4,24.2945,97.178,0.0,7.7742,2.4295
4481,SO46966,LL Mountain Handlebars,,Components,Handlebars,40.4909,1/29/2012,2/10/2012,2/5/2012,No Discount,Northwest,2,24.2945,48.589,0.0,3.8871,1.2147
4485,SO46966,ML Mountain Handlebars,,Components,Handlebars,56.2909,1/29/2012,2/10/2012,2/5/2012,No Discount,Northwest,1,33.7745,33.7745,0.0,2.702,0.8444
4492,SO46967,ML Mountain Handlebars,,Components,Handlebars,56.2909,1/29/2012,2/10/2012,2/5/2012,No Discount,Northwest,2,33.7745,67.549,0.0,5.4039,1.6887
4494,SO46967,HL Fork,,Components,Forks,229.49,1/29/2012,2/10/2012,2/5/2012,No Discount,Northwest,2,137.694,275.388,0.0,22.031,6.8847
4498,SO46967,Cable Lock,,Accessories,Locks,25.0,1/29/2012,2/10/2012,2/5/2012,No Discount,Northwest,8,15.0,120.0,0.0,9.6,3.0
4517,SO46967,ML Headset,,Components,Headsets,102.29,1/29/2012,2/10/2012,2/5/2012,No Discount,Northwest,9,61.374,552.366,0.0,44.1893,13.8092
4527,SO46967,HL Headset,,Components,Headsets,124.73,1/29/2012,2/10/2012,2/5/2012,No Discount,Northwest,2,74.838,149.676,0.0,11.9741,3.7419
4530,SO46967,LL Mountain Handlebars,,Components,Handlebars,40.4909,1/29/2012,2/10/2012,2/5/2012,No Discount,Northwest,4,24.2945,97.178,0.0,7.7742,2.4295
4531,SO46967,HL Mountain Handlebars,,Components,Handlebars,109.3364,1/29/2012,2/10/2012,2/5/2012,No Discount,Northwest,1,65.6018,65.6018,0.0,5.2481,1.64
4534,SO46967,LL Fork,,Components,Forks,148.22,1/29/2012,2/10/2012,2/5/2012,No Discount,Northwest,1,88.932,88.932,0.0,7.1146,2.2233
4537,SO46967,Minipump,,Accessories,Pumps,19.99,1/29/2012,2/10/2012,2/5/2012,Volume Discount 11 to 14,Northwest,13,11.5942,147.7101,3.0145,11.8168,3.6928
4539,SO46967,LL Headset,,Components,Headsets,34.2,1/29/2012,2/10/2012,2/5/2012,No Discount,Northwest,5,20.52,102.6,0.0,8.208,2.565
4565,SO46969,ML Mountain Handlebars,,Components,Handlebars,56.2909,1/29/2012,2/10/2012,2/5/2012,No Discount,Central,6,33.7745,202.647,0.0,16.2118,5.0662
4572,SO46969,HL Mountain Handlebars,,Components,Handlebars,109.3364,1/29/2012,2/10/2012,2/5/2012,No Discount,Central,3,65.6018,196.8054,0.0,15.7444,4.9201
4578,SO46969,HL Headset,,Components,Headsets,124.73,1/29/2012,2/10/2012,2/5/2012,No Discount,Central,3,74.838,224.514,0.0,17.9611,5.6129
4587,SO46969,LL Fork,,Components,Forks,148.22,1/29/2012,2/10/2012,2/5/2012,No Discount,Central,1,88.932,88.932,0.0,7.1146,2.2233
4591,SO46969,ML Headset,,Components,Headsets,102.29,1/29/2012,2/10/2012,2/5/2012,No Discount,Central,6,61.374,368.244,0.0,29.4595,9.2061
4592,SO46969,LL Mountain Handlebars,,Components,Handlebars,40.4909,1/29/2012,2/10/2012,2/5/2012,No Discount,Central,2,24.2945,48.589,0.0,3.8871,1.2147
4593,SO46969,Cable Lock,,Accessories,Locks,25.0,1/29/2012,2/10/2012,2/5/2012,No Discount,Central,1,15.0,15.0,0.0,1.2,0.375
4594,SO46969,LL Headset,,Components,Headsets,34.2,1/29/2012,2/10/2012,2/5/2012,No Discount,Central,3,20.52,61.56,0.0,4.9248,1.539
4600,SO46970,HL Road Handlebars,,Components,Handlebars,109.3364,1/29/2012,2/10/2012,2/5/2012,No Discount,Southwest,4,65.6018,262.4072,0.0,20.9926,6.5602
4611,SO46970,LL Road Handlebars,,Components,Handlebars,40.4909,1/29/2012,2/10/2012,2/5/2012,No Discount,Southwest,4,24.2945,97.178,0.0,7.7742,2.4295
4651,SO46971,ML Mountain Handlebars,,Components,Handlebars,56.2909,1/29/2012,2/10/2012,2/5/2012,No Discount,Southeast,2,33.7745,67.549,0.0,5.4039,1.6887
4654,SO46972,HL Headset,,Components,Headsets,124.73,1/29/2012,2/10/2012,2/5/2012,No Discount,Northwest,1,74.838,74.838,0.0,5.987,1.871
4656,SO46972,LL Mountain Handlebars,,Components,Handlebars,40.4909,1/29/2012,2/10/2012,2/5/2012,No Discount,Northwest,6,24.2945,145.767,0.0,11.6614,3.6442
4660,SO46972,ML Headset,,Components,Headsets,102.29,1/29/2012,2/10/2012,2/5/2012,No Discount,Northwest,9,61.374,552.366,0.0,44.1893,13.8092
4661,SO46972,Cable Lock,,Accessories,Locks,25.0,1/29/2012,2/10/2012,2/5/2012,No Discount,Northwest,2,15.0,30.0,0.0,2.4,0.75
4663,SO46972,ML Mountain Handlebars,,Components,Handlebars,56.2909,1/29/2012,2/10/2012,2/5/2012,No Discount,Northwest,4,33.7745,135.098,0.0,10.8078,3.3775
4665,SO46972,LL Headset,,Components,Headsets,34.2,1/29/2012,2/10/2012,2/5/2012,No Discount,Northwest,2,20.52,41.04,0.0,3.2832,1.026
4666,SO46972,HL Mountain Handlebars,,Components,Handlebars,109.3364,1/29/2012,2/10/2012,2/5/2012,No Discount,Northwest,3,65.6018,196.8054,0.0,15.7444,4.9201
4677,SO46972,HL Fork,,Components,Forks,229.49,1/29/2012,2/10/2012,2/5/2012,No Discount,Northwest,4,137.694,550.776,0.0,44.0621,13.7694
4686,SO46973,ML Mountain Handlebars,,Components,Handlebars,56.2909,1/29/2012,2/10/2012,2/5/2012,No Discount,Northwest,1,33.7745,33.7745,0.0,2.702,0.8444
4695,SO46974,ML Mountain Handlebars,,Components,Handlebars,56.2909,1/29/2012,2/10/2012,2/5/2012,No Discount,Northwest,10,33.7745,337.745,0.0,27.0196,8.4436
4700,SO46974,Cable Lock,,Accessories,Locks,25.0,1/29/2012,2/10/2012,2/5/2012,No Discount,Northwest,10,15.0,150.0,0.0,12.0,3.75
4701,SO46974,HL Fork,,Components,Forks,229.49,1/29/2012,2/10/2012,2/5/2012,No Discount,Northwest,6,137.694,826.164,0.0,66.0931,20.6541
4703,SO46974,LL Fork,,Components,Forks,148.22,1/29/2012,2/10/2012,2/5/2012,No Discount,Northwest,2,88.932,177.864,0.0,14.2291,4.4466
4707,SO46974,LL Headset,,Components,Headsets,34.2,1/29/2012,2/10/2012,2/5/2012,No Discount,Northwest,2,20.52,41.04,0.0,3.2832,1.026
4711,SO46974,HL Mountain Handlebars,,Components,Handlebars,109.3364,1/29/2012,2/10/2012,2/5/2012,No Discount,Northwest,2,65.6018,131.2036,0.0,10.4963,3.2801
4713,SO46974,Minipump,,Accessories,Pumps,19.99,1/29/2012,2/10/2012,2/5/2012,No Discount,Northwest,4,11.994,47.976,0.0,3.8381,1.1994
4714,SO46974,LL Mountain Handlebars,,Components,Handlebars,40.4909,1/29/2012,2/10/2012,2/5/2012,No Discount,Northwest,6,24.2945,145.767,0.0,11.6614,3.6442
4730,SO46974,ML Headset,,Components,Headsets,102.29,1/29/2012,2/10/2012,2/5/2012,No Discount,Northwest,3,61.374,184.122,0.0,14.7298,4.6031
4813,SO46980,LL Road Handlebars,,Components,Handlebars,40.4909,1/29/2012,2/10/2012,2/5/2012,No Discount,Central,1,24.2945,24.2945,0.0,1.9436,0.6074
4818,SO46980,HL Road Handlebars,,Components,Handlebars,109.3364,1/29/2012,2/10/2012,2/5/2012,No Discount,Central,2,65.6018,131.2036,0.0,10.4963,3.2801
4829,SO46981,Cable Lock,,Accessories,Locks,25.0,1/29/2012,2/10/2012,2/5/2012,No Discount,France,7,15.0,105.0,0.0,8.4,2.625
4838,SO46981,HL Road Handlebars,,Components,Handlebars,109.3364,1/29/2012,2/10/2012,2/5/2012,No Discount,France,3,65.6018,196.8054,0.0,15.7444,4.9201
4839,SO46981,LL Road Handlebars,,Components,Handlebars,40.4909,1/29/2012,2/10/2012,2/5/2012,No Discount,France,2,24.2945,48.589,0.0,3.8871,1.2147
4865,SO46981,Minipump,,Accessories,Pumps,19.99,1/29/2012,2/10/2012,2/5/2012,No Discount,France,10,11.994,119.94,0.0,9.5952,2.9985
4888,SO46982,HL Mountain Handlebars,,Components,Handlebars,109.3364,1/29/2012,2/10/2012,2/5/2012,No Discount,France,1,65.6018,65.6018,0.0,5.2481,1.64
4898,SO46984,ML Mountain Handlebars,,Components,Handlebars,56.2909,1/29/2012,2/10/2012,2/5/2012,No Discount,Canada,3,33.7745,101.3235,0.0,8.1059,2.5331
4915,SO46985,ML Mountain Handlebars,,Components,Handlebars,56.2909,1/29/2012,2/10/2012,2/5/2012,No Discount,France,2,33.7745,67.549,0.0,5.4039,1.6887
4939,SO46987,LL Fork,,Components,Forks,148.22,1/29/2012,2/10/2012,2/5/2012,No Discount,France,5,88.932,444.66,0.0,35.5728,11.1165
4948,SO46987,ML Headset,,Components,Headsets,102.29,1/29/2012,2/10/2012,2/5/2012,No Discount,France,9,61.374,552.366,0.0,44.1893,13.8092
4949,SO46987,LL Headset,,Components,Headsets,34.2,1/29/2012,2/10/2012,2/5/2012,No Discount,France,2,20.52,41.04,0.0,3.2832,1.026
4950,SO46987,HL Mountain Handlebars,,Components,Handlebars,109.3364,1/29/2012,2/10/2012,2/5/2012,No Discount,France,1,65.6018,65.6018,0.0,5.2481,1.64
4961,SO46987,HL Headset,,Components,Headsets,124.73,1/29/2012,2/10/2012,2/5/2012,No Discount,France,4,74.838,299.352,0.0,23.9482,7.4838
4976,SO46987,ML Mountain Handlebars,,Components,Handlebars,56.2909,1/29/2012,2/10/2012,2/5/2012,No Discount,France,2,33.7745,67.549,0.0,5.4039,1.6887
4984,SO46987,Cable Lock,,Accessories,Locks,25.0,1/29/2012,2/10/2012,2/5/2012,No Discount,France,10,15.0,150.0,0.0,12.0,3.75
4986,SO46987,HL Fork,,Components,Forks,229.49,1/29/2012,2/10/2012,2/5/2012,No Discount,France,10,137.694,1376.94,0.0,110.1552,34.4235
4989,SO46987,LL Mountain Handlebars,,Components,Handlebars,40.4909,1/29/2012,2/10/2012,2/5/2012,No Discount,France,6,24.2945,145.767,0.0,11.6614,3.6442
4992,SO46987,Minipump,,Accessories,Pumps,19.99,1/29/2012,2/10/2012,2/5/2012,No Discount,France,4,11.994,47.976,0.0,3.8381,1.1994
5007,SO46988,Minipump,,Accessories,Pumps,19.99,1/29/2012,2/10/2012,2/5/2012,No Discount,Southwest,8,11.994,95.952,0.0,7.6762,2.3988
5045,SO46988,Cable Lock,,Accessories,Locks,25.0,1/29/2012,2/10/2012,2/5/2012,No Discount,Southwest,4,15.0,60.0,0.0,4.8,1.5
5050,SO46988,LL Road Handlebars,,Components,Handlebars,40.4909,1/29/2012,2/10/2012,2/5/2012,No Discount,Southwest,2,24.2945,48.589,0.0,3.8871,1.2147
5087,SO46992,Minipump,,Accessories,Pumps,19.99,1/29/2012,2/10/2012,2/5/2012,No Discount,Southwest,4,11.994,47.976,0.0,3.8381,1.1994
5091,SO46992,HL Road Handlebars,,Components,Handlebars,109.3364,1/29/2012,2/10/2012,2/5/2012,No Discount,Southwest,3,65.6018,196.8054,0.0,15.7444,4.9201
5105,SO46992,Cable Lock,,Accessories,Locks,25.0,1/29/2012,2/10/2012,2/5/2012,No Discount,Southwest,6,15.0,90.0,0.0,7.2,2.25
5122,SO46993,LL Fork,,Components,Forks,148.22,1/29/2012,2/10/2012,2/5/2012,No Discount,Northeast,2,88.932,177.864,0.0,14.2291,4.4466
5130,SO46993,HL Fork,,Components,Forks,229.49,1/29/2012,2/10/2012,2/5/2012,No Discount,Northeast,2,137.694,275.388,0.0,22.031,6.8847
5131,SO46993,HL Mountain Handlebars,,Components,Handlebars,109.3364,1/29/2012,2/10/2012,2/5/2012,No Discount,Northeast,1,65.6018,65.6018,0.0,5.2481,1.64
5133,SO46993,ML Mountain Handlebars,,Components,Handlebars,56.2909,1/29/2012,2/10/2012,2/5/2012,No Discount,Northeast,4,33.7745,135.098,0.0,10.8078,3.3775
5134,SO46993,LL Headset,,Components,Headsets,34.2,1/29/2012,2/10/2012,2/5/2012,No Discount,Northeast,2,20.52,41.04,0.0,3.2832,1.026
5145,SO46993,ML Headset,,Components,Headsets,102.29,1/29/2012,2/10/2012,2/5/2012,No Discount,Northeast,6,61.374,368.244,0.0,29.4595,9.2061
5149,SO46993,Minipump,,Accessories,Pumps,19.99,1/29/2012,2/10/2012,2/5/2012,No Discount,Northeast,8,11.994,95.952,0.0,7.6762,2.3988
5152,SO46993,HL Headset,,Components,Headsets,124.73,1/29/2012,2/10/2012,2/5/2012,No Discount,Northeast,3,74.838,224.514,0.0,17.9611,5.6129
5170,SO46993,Cable Lock,,Accessories,Locks,25.0,1/29/2012,2/10/2012,2/5/2012,No Discount,Northeast,8,15.0,120.0,0.0,9.6,3.0
5176,SO46994,HL Headset,,Components,Headsets,124.73,1/29/2012,2/10/2012,2/5/2012,No Discount,Northeast,1,74.838,74.838,0.0,5.987,1.871
5184,SO46994,LL Headset,,Components,Headsets,34.2,1/29/2012,2/10/2012,2/5/2012,No Discount,Northeast,2,20.52,41.04,0.0,3.2832,1.026
5186,SO46994,ML Headset,,Components,Headsets,102.29,1/29/2012,2/10/2012,2/5/2012,No Discount,Northeast,9,61.374,552.366,0.0,44.1893,13.8092
5195,SO46994,LL Mountain Handlebars,,Components,Handlebars,40.4909,1/29/2012,2/10/2012,2/5/2012,No Discount,Northeast,4,24.2945,97.178,0.0,7.7742,2.4295
5200,SO46994,LL Fork,,Components,Forks,148.22,1/29/2012,2/10/2012,2/5/2012,No Discount,Northeast,1,88.932,88.932,0.0,7.1146,2.2233
5203,SO46994,HL Fork,,Components,Forks,229.49,1/29/2012,2/10/2012,2/5/2012,No Discount,Northeast,6,137.694,826.164,0.0,66.0931,20.6541
5206,SO46994,HL Mountain Handlebars,,Components,Handlebars,109.3364,1/29/2012,2/10/2012,2/5/2012,No Discount,Northeast,1,65.6018,65.6018,0.0,5.2481,1.64
5210,SO46994,ML Mountain Handlebars,,Components,Handlebars,56.2909,1/29/2012,2/10/2012,2/5/2012,No Discount,Northeast,4,33.7745,135.098,0.0,10.8078,3.3775
5236,SO46996,LL Road Handlebars,,Components,Handlebars,40.4909,1/29/2012,2/10/2012,2/5/2012,No Discount,Southeast,2,24.2945,48.589,0.0,3.8871,1.2147
5240,SO46996,HL Road Handlebars,,Components,Handlebars,109.3364,1/29/2012,2/10/2012,2/5/2012,No Discount,Southeast,2,65.6018,131.2036,0.0,10.4963,3.2801
5282,SO46997,HL Road Handlebars,,Components,Handlebars,109.3364,1/29/2012,2/10/2012,2/5/2012,No Discount,Canada,1,65.6018,65.6018,0.0,5.2481,1.64
5294,SO47000,ML Mountain Handlebars,,Components,Handlebars,56.2909,1/29/2012,2/10/2012,2/5/2012,No Discount,Canada,3,33.7745,101.3235,0.0,8.1059,2.5331
5306,SO47001,HL Road Handlebars,,Components,Handlebars,109.3364,1/29/2012,2/10/2012,2/5/2012,No Discount,Northeast,1,65.6018,65.6018,0.0,5.2481,1.64
5328,SO47001,LL Road Handlebars,,Components,Handlebars,40.4909,1/29/2012,2/10/2012,2/5/2012,No Discount,Northeast,1,24.2945,24.2945,0.0,1.9436,0.6074
5372,SO47004,HL Headset,,Components,Headsets,124.73,1/29/2012,2/10/2012,2/5/2012,No Discount,United Kingdom,2,74.838,149.676,0.0,11.9741,3.7419
5376,SO47004,Minipump,,Accessories,Pumps,19.99,1/29/2012,2/10/2012,2/5/2012,No Discount,United Kingdom,2,11.994,23.988,0.0,1.919,0.5997
5381,SO47004,Cable Lock,,Accessories,Locks,25.0,1/29/2012,2/10/2012,2/5/2012,No Discount,United Kingdom,6,15.0,90.0,0.0,7.2,2.25
5400,SO47004,LL Mountain Handlebars,,Components,Handlebars,40.4909,1/29/2012,2/10/2012,2/5/2012,No Discount,United Kingdom,4,24.2945,97.178,0.0,7.7742,2.4295
5412,SO47004,HL Fork,,Components,Forks,229.49,1/29/2012,2/10/2012,2/5/2012,No Discount,United Kingdom,6,137.694,826.164,0.0,66.0931,20.6541
5416,SO47004,ML Headset,,Components,Headsets,102.29,1/29/2012,2/10/2012,2/5/2012,No Discount,United Kingdom,3,61.374,184.122,0.0,14.7298,4.6031
5418,SO47004,LL Fork,,Components,Forks,148.22,1/29/2012,2/10/2012,2/5/2012,No Discount,United Kingdom,3,88.932,266.796,0.0,21.3437,6.6699
5419,SO47004,ML Mountain Handlebars,,Components,Handlebars,56.2909,1/29/2012,2/10/2012,2/5/2012,No Discount,United Kingdom,4,33.7745,135.098,0.0,10.8078,3.3775
5426,SO47006,Cable Lock,,Accessories,Locks,25.0,1/29/2012,2/10/2012,2/5/2012,No Discount,United Kingdom,3,15.0,45.0,0.0,3.6,1.125
5455,SO47006,HL Mountain Handlebars,,Components,Handlebars,109.3364,1/29/2012,2/10/2012,2/5/2012,No Discount,United Kingdom,1,65.6018,65.6018,0.0,5.2481,1.64
